Time,Roll,Pitch,Yaw,aX,aY,aZ
13:16:50.5344,-17.59,-61.07,-149.81,0.71,-2.15,1.99
13:16:50.5948,-17.47,-60.86,-149.89,0.53,-2.15,2.6
13:16:50.6614,-17.37,-60.65,-149.95,1.26,-3.56,2.72
13:16:50.7278,-17.27,-60.44,-150.0,1.32,-3.56,3.57
13:16:50.7945,-17.14,-60.23,-150.1,1.26,-2.58,2.29
13:16:50.8615,-17.01,-60.03,-150.19,0.84,-2.09,1.93
13:16:50.9283,-16.87,-59.82,-150.27,0.41,-1.85,1.32
13:16:50.9953,-16.75,-59.61,-150.37,0.04,-1.85,0.46
13:16:51.6232,-16.63,-59.4,-150.46,-0.2,-1.36,-0.39
13:16:51.1294,-16.56,-59.18,-150.49,-0.26,-1.42,-1.31
13:16:51.1963,-16.48,-58.96,-150.52,-0.2,-1.12,-0.88
13:16:51.2626,-16.37,-58.75,-150.59,-0.2,-1.97,-0.51
13:16:51.3303,-16.18,-58.53,-150.76,0.29,-2.03,0.95
13:16:51.4047,-16.1,-58.33,-150.83,0.1,-2.22,-0.88
13:16:51.4642,-15.98,-58.12,-150.92,-0.08,-1.54,-0.76
13:16:51.5301,-15.9,-57.91,-150.95,-0.44,-1.24,-1.92
13:16:51.5967,-15.83,-57.68,-151.01,-0.08,-4.04,-1.92
13:16:51.6664,-15.74,-57.47,-151.05,-0.08,-1.61,-1.37
13:16:51.7296,-15.64,-57.25,-151.1,-0.02,-3.25,-2.1
13:16:51.7973,-15.52,-57.03,-151.18,0.16,-3.98,-1.92
13:16:51.8645,-15.42,-56.82,-151.23,0.16,-3.07,-2.22
13:16:51.9303,-15.33,-56.59,-151.3,0.29,-3.56,-2.1
13:16:51.9983,-15.23,-56.37,-151.37,0.35,-4.35,-1.49
13:16:52.6786,-15.11,-56.14,-151.47,1.02,-4.78,1.86
13:16:52.1342,-15.0,-55.92,-151.53,0.84,-4.78,0.71
13:16:52.1994,-14.91,-55.69,-151.58,0.16,-1.67,-0.45
13:16:52.2702,-14.81,-55.48,-151.63,0.53,-4.35,0.71
13:16:52.3335,-14.72,-55.27,-151.69,0.84,-5.39,0.46
13:16:52.3998,-14.63,-55.04,-151.76,0.9,-5.57,1.01
13:16:52.4667,-14.54,-54.82,-151.82,0.9,-5.45,0.46
13:16:52.5332,-14.44,-54.6,-151.85,0.96,-5.2,-0.09
13:16:52.6005,-14.35,-54.37,-151.91,0.77,-5.2,-0.33
13:16:52.6675,-14.26,-54.15,-151.95,0.77,-4.9,-0.39
13:16:52.7338,-14.17,-53.92,-152.02,0.59,-4.41,-0.33
13:16:52.8005,-14.09,-53.69,-152.08,0.59,-3.86,-0.57
13:16:52.8676,-14.0,-53.47,-152.14,0.84,-4.47,-0.7
13:16:52.9345,-13.87,-53.16,-152.26,-0.14,-2.22,-1.12
13:16:53.3589,-13.77,-52.94,-152.38,-0.08,-2.22,-0.82
13:16:53.1000,-13.68,-52.71,-152.47,0.1,-3.31,-0.27
13:16:53.1600,-13.65,-52.52,-152.5,-0.14,-1.91,0.04
13:16:53.2106,-13.58,-52.32,-152.55,0.04,-1.67,-2.28
13:16:53.2697,-13.51,-52.09,-152.6,0.16,-1.85,-2.1
13:16:53.3370,-13.42,-51.86,-152.65,0.04,-1.85,-2.04
13:16:53.4039,-13.34,-51.63,-152.7,-0.08,-1.97,-2.04
13:16:53.4696,-13.25,-51.39,-152.76,0.23,-2.7,-1.49
13:16:53.5365,-13.18,-51.17,-152.79,0.16,-2.03,-1.55
13:16:53.6030,-13.11,-50.93,-152.83,0.04,-2.95,-2.53
13:16:53.6743,-13.03,-50.69,-152.86,-0.14,-1.48,-1.86
13:16:53.7399,-12.96,-50.45,-152.93,0.04,-2.82,-2.34
13:16:53.8091,-12.87,-50.22,-153.02,-0.26,-2.4,-2.34
13:16:53.8705,-12.8,-49.98,-153.08,0.04,-2.58,-2.4
13:16:53.9377,-12.73,-49.74,-153.13,0.29,-3.07,-2.16
13:16:54.4498,-12.66,-49.5,-153.19,0.59,-3.62,-1.98
13:16:54.7238,-12.59,-49.26,-153.25,0.29,-3.13,-2.04
13:16:54.1384,-12.52,-49.02,-153.27,0.47,-3.62,-2.1
13:16:54.2052,-12.44,-48.77,-153.33,1.08,-5.32,-1.92
13:16:54.2724,-12.37,-48.53,-153.38,1.08,-5.26,-1.92
13:16:54.3394,-12.3,-48.3,-153.44,0.16,-2.46,-1.31
13:16:54.4047,-12.24,-48.05,-153.48,0.71,-4.41,-1.37
13:16:54.4724,-12.17,-47.81,-153.52,0.53,-3.74,-1.12
13:16:54.5393,-12.11,-47.56,-153.55,0.71,-4.29,-1.31
13:16:54.6057,-12.05,-47.33,-153.61,0.35,-3.31,-1.06
13:16:54.6716,-11.98,-47.07,-153.66,1.08,-5.69,-1.0
13:16:54.7404,-11.92,-46.82,-153.72,0.9,-5.63,-0.76
13:16:54.8063,-11.86,-46.59,-153.77,0.53,-3.56,-0.51
13:16:54.8725,-11.8,-46.33,-153.81,1.14,-5.75,-0.64
13:16:54.9403,-11.73,-46.08,-153.86,1.02,-5.2,-0.33
13:16:55.6656,-11.66,-45.83,-153.92,0.96,-6.18,-0.39
13:16:55.7437,-11.6,-45.58,-153.97,0.84,-6.06,-0.21
13:16:55.1413,-11.54,-45.33,-154.01,0.9,-6.42,0.28
13:16:55.2071,-11.47,-45.07,-154.08,1.02,-6.42,0.4
13:16:55.2732,-11.41,-44.81,-154.12,0.35,-4.47,-0.33
13:16:55.3422,-11.36,-44.56,-154.16,-0.26,-2.15,-1.43
13:16:55.4095,-11.3,-44.3,-154.22,0.84,-6.18,0.64
13:16:55.4753,-11.25,-44.05,-154.26,0.84,-5.75,0.4
13:16:55.5415,-11.19,-43.79,-154.3,0.65,-5.26,0.64
13:16:55.6093,-11.14,-43.52,-154.35,-0.02,-1.54,-1.43
13:16:55.6801,-11.08,-43.27,-154.39,0.16,-3.56,0.1
13:16:55.7436,-11.03,-43.01,-154.44,-0.08,-2.82,-0.33
13:16:55.8119,-10.99,-42.74,-154.5,-0.02,-2.46,-0.45
13:16:55.8767,-10.95,-42.47,-154.58,-0.2,-1.97,-0.7
13:16:55.9434,-10.89,-42.21,-154.63,-0.08,-2.76,-0.15
13:16:56.9595,-10.83,-41.94,-154.68,-0.32,-1.36,-0.76
13:16:56.7765,-10.77,-41.68,-154.74,-0.32,-1.61,-0.45
13:16:56.1436,-10.72,-41.41,-154.78,-0.02,-2.09,-0.7
13:16:56.2121,-10.68,-41.13,-154.83,0.23,-2.76,-0.51
13:16:56.2783,-10.63,-40.87,-154.87,-0.14,-2.09,-0.57
13:16:56.3443,-10.57,-40.59,-154.95,0.1,-2.46,-0.51
13:16:56.4117,-10.52,-40.32,-155.01,-0.32,-1.79,-0.51
13:16:56.4785,-10.48,-40.05,-155.07,-0.08,-1.97,-0.39
13:16:56.5447,-10.44,-39.77,-155.13,-0.14,-2.22,-0.09
13:16:56.6118,-10.39,-39.49,-155.18,0.16,-2.58,-0.09
13:16:56.6790,-10.34,-39.21,-155.24,0.41,-4.47,0.46
13:16:56.7466,-10.29,-38.94,-155.29,0.23,-3.56,0.16
13:16:56.8129,-10.25,-38.66,-155.35,-0.08,-3.19,-0.03
13:16:56.8790,-10.2,-38.37,-155.4,0.04,-3.56,0.46
13:16:56.9460,-10.16,-38.08,-155.46,0.29,-3.98,0.95
13:16:57.1279,-10.11,-37.79,-155.5,0.47,-4.59,1.44
13:16:57.8042,-10.08,-37.51,-155.56,0.59,-5.2,1.19
13:16:57.1475,-10.04,-37.21,-155.62,0.71,-5.45,1.01
13:16:57.2144,-10.0,-36.92,-155.67,0.65,-5.69,1.07
13:16:57.2844,-9.96,-36.62,-155.74,0.47,-5.81,1.25
13:16:57.3482,-9.92,-36.32,-155.82,0.16,-4.78,0.1
13:16:57.4156,-9.88,-36.04,-155.86,0.59,-4.84,1.62
13:16:57.4814,-9.85,-35.73,-155.92,0.53,-5.26,1.56
13:16:57.5476,-9.83,-35.43,-155.96,0.47,-5.45,1.19
13:16:57.6146,-9.8,-35.11,-156.01,-0.2,-4.17,-0.27
13:16:57.6865,-9.78,-34.81,-156.06,-0.14,-3.56,-0.57
13:16:57.7506,-9.75,-34.51,-156.1,-0.02,-4.72,0.77
13:16:57.8159,-9.7,-34.04,-156.23,0.23,-3.86,0.28
13:16:57.9168,-9.67,-33.75,-156.29,0.53,-4.84,1.07
13:16:57.9822,-9.66,-33.54,-156.35,-0.14,-3.31,-1.61
13:16:58.2673,-9.61,-33.28,-156.41,0.16,-4.17,0.58
13:16:58.8257,-9.58,-32.96,-156.45,0.04,-4.23,0.34
13:16:58.1499,-9.56,-32.65,-156.52,-0.02,-3.98,0.28
13:16:58.2172,-9.53,-32.32,-156.58,-0.26,-4.23,-0.03
13:16:58.2838,-9.51,-31.99,-156.62,-0.32,-4.17,-0.03
13:16:58.3505,-9.49,-31.67,-156.69,-0.44,-4.53,0.04
13:16:58.4175,-9.47,-31.34,-156.75,-0.44,-4.04,-0.09
13:16:58.4837,-9.45,-31.02,-156.79,-0.26,-4.17,-0.21
13:16:58.5506,-9.44,-30.69,-156.82,-0.08,-4.23,-0.09
13:16:58.6174,-9.42,-30.35,-156.89,-0.32,-4.11,-0.03
13:16:58.6845,-9.39,-30.02,-156.94,-0.2,-4.23,-0.33
13:16:58.7513,-9.35,-29.69,-156.99,-0.32,-4.47,-0.39
13:16:58.8181,-9.32,-29.36,-157.06,-0.26,-4.59,-0.33
13:16:58.8846,-9.29,-29.03,-157.12,-0.44,-5.02,-0.27
13:16:58.9515,-9.25,-28.69,-157.21,0.16,-5.26,0.04
13:16:59.1846,-9.2,-28.35,-157.29,0.59,-5.75,0.1
13:16:59.8573,-9.16,-28.01,-157.37,0.53,-5.87,0.34
13:16:59.1525,-9.12,-27.67,-157.48,0.59,-6.06,0.77
13:16:59.2195,-9.08,-27.33,-157.58,0.71,-6.12,1.13
13:16:59.2864,-9.04,-26.98,-157.66,0.65,-6.24,0.46
13:16:59.3533,-8.99,-26.63,-157.76,0.71,-6.3,0.77
13:16:59.4202,-8.95,-26.28,-157.86,0.53,-6.24,0.04
13:16:59.4854,-8.91,-25.93,-157.96,0.1,-5.08,-1.25
13:16:59.5524,-8.86,-25.57,-158.04,0.53,-5.87,-0.45
13:16:59.6203,-8.82,-25.2,-158.16,1.08,-5.81,0.77
13:16:59.6905,-8.8,-24.82,-158.26,0.77,-6.73,-0.51
13:16:59.7561,-8.77,-24.45,-158.38,0.84,-6.54,-0.45
13:16:59.8194,-8.72,-24.09,-158.5,0.84,-6.48,-0.15
13:16:59.8865,-8.66,-23.71,-158.58,0.96,-5.81,0.64
13:16:59.9544,-8.62,-23.35,-158.69,0.9,-6.18,-0.03
