UTC,Latitude,Longitude,Altitude
044333.00,1.0563050001140708,-3.913888000231054,32.3
044334.00,1.000710000001618,-3.925006999950165,32.0
044335.00,1.000710000001618,-3.925006999950165,31.9
044336.00,1.0340670001702166,-3.9583640011300307,31.6
044337.00,1.1119000002265238,-3.9472450014109195,30.8
044338.00,1.1786140000580871,-3.9472450014109195,30.0
044339.00,1.2119710002266855,-3.9361260016918096,29.7
044340.00,1.2675660003391385,-3.9472450014109195,29.3
044341.00,1.245328000395284,-4.025078001467227,28.8
044342.00,1.2564470001143946,-4.1251490009617555,28.3
044343.00,1.3231610004515915,-4.147387000399976,27.9
044344.00,1.3676370003393004,-4.158506000119087,27.5
044345.00,1.4009940000022651,-4.191863001298953,27.0
044346.00,1.4232320004517531,-4.225220000456283,26.5
044347.00,1.4677080003394622,-4.24745800191704,26.2
044348.00,1.4788270000585726,-4.258577001636149,25.9
044349.00,1.4788270000585726,-4.29193400079348,25.8
044350.00,1.4788270000585726,-4.325290999950812,25.5
044351.00,1.4788270000585726,-4.347529001411567,25.1
044352.00,1.3898750002831548,-4.358648001130677,24.6
044353.00,1.3009230000021035,-4.369767000849787,24.4
044354.00,1.3009230000021035,-4.369767000849787,24.1
044355.00,1.3009230000021035,-4.303053000512591,23.5
044356.00,1.3120420002268474,-4.303053000512591,23.3
044357.00,1.3565180001145563,-4.28081500107437,23.0
044358.00,1.334280000170702,-4.28081500107437,22.7
044359.00,1.278685000058249,-4.325290999950812,22.5
044400.00,1.2564470001143946,-4.358648001130677,22.2
044401.00,1.2564470001143946,-4.40312400000712,22.0
044402.00,1.245328000395284,-4.436481001186985,21.8
044403.00,1.2230900004514298,-4.447600000906095,21.5
044404.00,1.245328000395284,-4.414243001748765,21.3
044405.00,1.278685000058249,-4.414243001748765,21.0
044406.00,1.278685000058249,-4.392005000288008,20.7
044407.00,1.2564470001143946,-4.358648001130677,20.7
044408.00,1.2675660003391385,-4.358648001130677,20.6
044409.00,1.278685000058249,-4.347529001411567,20.5
044410.00,1.3009230000021035,-4.347529001411567,20.3
044411.00,1.278685000058249,-4.358648001130677,20.2
044412.00,1.289804000282993,-4.358648001130677,20.3
044413.00,1.3009230000021035,-4.358648001130677,20.3
044414.00,1.3231610004515915,-4.336410001692457,20.3
044415.00,1.334280000170702,-4.314172000231701,20.5
044416.00,1.334280000170702,-4.258577001636149,20.5
044417.00,1.334280000170702,-4.236339000175395,20.4
044418.00,1.3009230000021035,-4.214101000737174,20.4
044419.00,1.2119710002266855,-4.180744001579842,20.3
044420.00,1.1563760001142327,-4.180744001579842,20.2
044421.00,1.1230190004512677,-4.169625001860732,20.1
044422.00,1.0563050001140708,-4.169625001860732,20.0
044423.00,1.10078100000178,-4.1251490009617555,20.0
044424.00,2.401704000003883,-4.414243001748765,19.5
044425.00,5.4483100004020795,-2.924297000959814,19.6
044426.00,3.8916500002872,-15.021769000754647,21.2
044427.00,1.5344220001710254,-31.34446100100576,23.3
044428.00,-1.078542999552292,-52.45944200154554,26.0
044429.00,-5.492785999784155,-67.5034490017384,26.3
044430.00,-0.7672109998326959,-87.19519800182643,29.7
044431.00,5.392715000289627,-104.42964800129248,32.7
044432.00,12.497756000301116,-121.96431100126465,35.5
044433.00,14.110011000022814,-150.184333000299,36.0
044434.00,21.47078900014708,-164.28322500009708,38.9
044435.00,31.62243600005113,-184.6421140015345,41.8
044436.00,34.66904200044932,-201.69866000144972,43.0
044437.00,33.49042800039124,-208.93712900061874,45.9
044438.00,29.89899100010452,-207.3582310000544,50.2
044439.00,21.871073000147728,-199.94185800133454,54.3
044440.00,13.598537000302896,-180.51696500057278,58.8
044441.00,8.772891000351274,-171.5995270013449,62.7
044442.00,4.091792000287524,-162.2373290012174,66.7
044443.00,-0.10007100000016181,-156.47768700109572,70.4
044444.00,-4.592146999782699,-150.70692600125494,73.4
044445.00,-8.083512999563617,-146.6707290000686,76.2
044446.00,-11.285784999568795,-143.70195600023234,78.8
044447.00,-13.142657999684163,-141.28913300050937,82.5
044448.00,-15.01065000002427,-138.57609700028027,86.0
044449.00,-17.412354000028152,-132.13819600111256,90.1
044450.00,-20.403364999808264,-126.78995700071063,94.1
044451.00,-22.793949999587404,-117.22761700159408,99.2
044452.00,-24.939916999984142,-109.80012500113261,104.2
044453.00,-26.974693999650345,-103.40670000084137,109.0
044454.00,-28.57582999965293,-98.04734200072035,113.7
044455.00,-29.687729999879455,-93.15498200093717,118.2
044456.00,-30.921938999544363,-89.09654700031261,122.7
044457.00,-31.60019799960164,-85.22713500098052,126.8
044458.00,-32.60090799960326,-81.36884200136755,131.1
044459.00,-33.290285999885285,-77.64397700040644,135.4
044500.00,-34.213162999830594,-74.86422700186267,139.6
044501.00,-34.83582699977542,-72.48476100129702,143.3
044502.00,-35.00261199960714,-70.42774600067568,146.9
044503.00,-35.291705999888514,-68.85996700185297,150.4
044504.00,-35.72534699955213,-68.07051800157078,154.0
044505.00,-35.50296699960795,-67.48121100027765,158.1
044506.00,-34.93589799977558,-67.02533200168145,162.2
044507.00,-33.73504599977364,-66.61392899993916,166.1
044508.00,-32.65650299971571,-66.16916900106209,170.0
044509.00,-31.222151999544845,-65.73552800190409,173.9
044510.00,-28.953875999709727,-65.32412500016181,177.5
044511.00,-26.541052999986732,-64.45684300184584,181.2
044512.00,-24.0503969997018,-63.46725200055207,184.6
044513.00,-21.6375739999788,-61.86611600054948,187.9
044514.00,-19.10244199980616,-60.25386100082778,191.2
044515.00,-16.4783579998581,-58.80839100093782,194.4
044516.00,-13.954344999910198,-57.040470001103486,197.8
044517.00,-11.385855999568957,-55.32814400188727,201.0
044518.00,-8.050155999900651,-52.85972600154619,205.2
044519.00,-5.159215999615071,-50.958377001037476,209.5
044520.00,-3.335699999668304,-48.267579000246585,212.3
044521.00,-0.7894489997765504,-45.687971000691874,216.2
044522.00,1.4899460002833165,-42.574651000462104,220.0
044523.00,3.4802470000618086,-39.52804500056954,223.5
044524.00,5.8374750001779825,-36.481439000676986,227.0
044525.00,7.883371000068927,-33.501547001121615,230.3
044526.00,10.118290000241085,-30.699559001117088,233.4
044527.00,11.997401000300306,-28.42016400004595,236.3
044528.00,14.187844000079123,-25.78496100189568,239.1
044529.00,16.567310000139152,-24.28389600138762,241.5
044530.00,18.7577530004236,-22.24911900020452,243.5
044531.00,21.415194000034624,-20.93707700098894,245.1
044532.00,23.7724220001508,-19.458250001941632,246.5
044533.00,26.129650000266974,-17.868233001658155,247.8
044534.00,28.675901000158728,-16.10031200182384,249.1
044535.00,30.59948800010565,-13.943226001707988,250.2
044536.00,32.2228620000521,-12.586708001593435,251.0
044537.00,34.30211500011165,-11.641593001198634,251.6
044538.00,36.25905900022717,-10.763192001141032,252.4
044539.00,38.06033700023008,-10.040457001196046,252.9
044540.00,40.16182800023348,-9.595697000296424,253.0
044541.00,41.874154000460976,-8.91743800125041,253.1
044542.00,44.13131100007135,-8.394845000294481,253.0
044543.00,46.666443000244,-7.449730001922217,252.7
044544.00,49.52402600036098,-6.348949001414803,252.6
